box_quality_tag,box_status,candidate_type,code,commission,compact_kline_pass,entry_date,entry_price,exit_date,exit_price,exit_reason,intraday_stop_breach,net_profit,net_return,parameter_set_id,r_multiple,setup_id,signal_date,slippage,stop_loss_price,tail_path,tax,total_score,trade_id
BOX_COMPACT_READY,BOX_SUPPORT_READY,WATCH_CANDIDATE,600178,10.0,True,2025-07-15,13.7137,2025-08-06,15.62436,TARGET,False,180.255437,0.13144187,s6ps-302e3a382d956a99,3.27336,s6setup-c856df5ef579bf7f6ea2,2025-07-14,0.029338,13.13,BOX,0.8105559999999999,69,s6trade-da4ce7e476695b99a05d
NONE,BOX_FORMING,KEY_CANDIDATE,600550,10.0,True,2025-06-11,8.82882,2025-06-19,8.31168,STOP,False,-62.146726,-0.07039075,s6ps-302e3a382d956a99,-1.016352,s6setup-ecc960741dc6a8eb306d,2025-06-10,0.017141,8.32,ORIGINAL,0.432725,76,s6trade-8fd2850f4c27af055d74
NONE,BOX_FORMING,KEY_CANDIDATE,600875,10.0,True,2025-08-12,20.14012,2025-09-02,19.25073,STOP,False,-99.940935,-0.04962281,s6ps-302e3a382d956a99,-1.022146,s6setup-fdc17521e378be474b4a,2025-08-11,0.039391,19.27,ORIGINAL,1.001928,79,s6trade-70133259a62c53b45262
NONE,BOX_FORMING,KEY_CANDIDATE,601212,10.0,True,2025-11-03,5.19519,2025-11-05,4.88511,STOP_GAP,False,-41.262334,-0.07942411,s6ps-302e3a382d956a99,-1.126785,s6setup-913c0c634718e28e471d,2025-10-31,0.01008,4.92,ORIGINAL,0.254336,80,s6trade-2c3a1aba2d0079082058
NONE,BOX_FORMING,KEY_CANDIDATE,603099,10.0,False,2024-11-25,38.91888,2024-12-13,53.29665,TARGET,False,1425.019967,0.36615133,s6ps-302e3a382d956a99,4.79438,s6setup-d245c07d3f6641955e81,2024-11-22,0.092216,35.92,ORIGINAL,2.757049,77,s6trade-15c1bc928c2bfa76e819
NONE,BOX_STABLE,WATCH_CANDIDATE,603119,10.0,False,2025-10-09,109.6095,2025-10-13,98.08182,STOP_GAP,False,-1167.879796,-0.10654914,s6ps-302e3a382d956a99,-1.577082,s6setup-c5ff5044c6a383480dae,2025-09-30,0.207691,102.3,BOTH,5.111782,77,s6trade-a5f920ff352919e848d1
NONE,BOX_FORMING,KEY_CANDIDATE,603501,10.0,False,2025-03-10,145.01487,2025-03-13,136.93293,STOP,False,-825.32255,-0.05691296,s6ps-302e3a382d956a99,-1.017253,s6setup-0b555cec13fe91beb6ed,2025-03-07,0.281948,137.07,ORIGINAL,7.128594,78,s6trade-329379f687c16ced3714
NONE,BOX_FORMING,KEY_CANDIDATE,688116,10.0,True,2025-03-19,48.12808,2025-03-20,44.96499,STOP_GAP,True,-328.650343,-0.06828661,s6ps-302e3a382d956a99,-1.172348,s6setup-f3f4c3e098a92dd7a8a7,2025-03-18,0.093093,45.43,ORIGINAL,2.341343,75,s6trade-fa41fe703549f67285b1
NONE,BOX_FORMING,KEY_CANDIDATE,688249,10.0,False,2025-10-31,35.84581,2025-11-03,33.1668,STOP_GAP,True,-279.62836,-0.07800866,s6ps-302e3a382d956a99,-1.303141,s6setup-b39375be3774b91f8efb,2025-10-30,0.069013,33.79,ORIGINAL,1.727353,78,s6trade-ab73b83f5434c848711f
NONE,BOX_FORMING,KEY_CANDIDATE,688297,10.0,True,2025-05-30,44.845801,2025-06-30,53.147799,MAX_HOLDING,False,817.444417,0.18227892,s6ps-302e3a382d956a99,2.847244,s6setup-256eae6dafac0cf97133,2025-05-29,0.097994,41.93,ORIGINAL,2.755384,79,s6trade-ec62ab7cb8a7a1f4cd9e
NONE,BOX_SUPPORT_READY,KEY_CANDIDATE,688313,10.0,False,2025-05-27,28.669641,2025-06-09,35.23473,TARGET,True,644.683265,0.22486618,s6ps-302e3a382d956a99,3.607903,s6setup-14605b552daa7ebd2184,2025-05-26,0.063904,26.85,BOX,1.82564,79,s6trade-fe62103e5a5d65324e7f
NONE,BOX_SUPPORT_READY,WATCH_CANDIDATE,688469,10.0,False,2025-10-23,6.35635,2025-11-20,6.77322,MAX_HOLDING,False,31.33521,0.04929749,s6ps-302e3a382d956a99,1.137901,s6setup-4f26f5b925788d16026b,2025-10-22,0.01313,5.99,BOX,0.35179099999999996,71,s6trade-92b27bcdc19f083034d3
NONE,BOX_FORMING,KEY_CANDIDATE,688480,10.0,False,2025-10-31,51.53148,2025-11-21,47.34261,STOP,False,-431.353014,-0.0837067,s6ps-302e3a382d956a99,-1.011443,s6setup-1ee9a9afea96750fe1f1,2025-10-30,0.098874,47.39,ORIGINAL,2.466005,79,s6trade-d321eadbfe33fe7642b2
BOX_COMPACT_READY,BOX_SUPPORT_READY,KEY_CANDIDATE,688499,10.0,True,2025-07-14,39.31928,2025-07-18,49.74021,TARGET,False,1029.516918,0.26183514,s6ps-302e3a382d956a99,3.846384,s6setup-6190d8589a34a14b2f2f,2025-07-11,0.089059,36.61,BOTH,2.5760690000000004,81,s6trade-7e070e690970d23c0036
NONE,BOX_FORMING,KEY_CANDIDATE,688507,10.0,False,2025-08-22,102.22212,2025-09-03,94.82508,STOP,False,-754.64233,-0.07382378,s6ps-302e3a382d956a99,-1.012999,s6setup-987937c145bed8deb782,2025-08-21,0.197047,94.92,ORIGINAL,4.938301,76,s6trade-377e7d5c57ef6eb87e73
NONE,BOX_FORMING,WATCH_CANDIDATE,688776,10.0,False,2025-04-22,83.083,2025-05-23,101.898,MAX_HOLDING,False,1866.22015,0.22462118,s6ps-302e3a382d956a99,2.426803,s6setup-728245ec1e0d5447ffd8,2025-04-21,0.184981,75.33,ORIGINAL,5.279881,77,s6trade-9144476fdeb96146b8a8
