audit_tags,code,expire_date,fill_reason,order_id,parameter_set_id,setup_id,signal_date,status,tail_path
[],688485,2025-11-13,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-914765af0f24307ee7ee,s6ps-71bdb4dbb9c5c096,s6setup-5a55e87f2e90f7541c99,2025-11-10,CANCELLED,BOX
[],688485,2025-11-14,FILLED_FROZEN_PLAN,s6order-38ee2bc45fa69927857d,s6ps-71bdb4dbb9c5c096,s6setup-95a3ebad9ae551508836,2025-11-11,FILLED,BOX
[],688485,2025-11-18,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-2de0d28933b4e1bc4f66,s6ps-71bdb4dbb9c5c096,s6setup-d65d8815903701259765,2025-11-13,CANCELLED,BOX
[],688498,2025-07-16,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-2146615a985063c84189,s6ps-71bdb4dbb9c5c096,s6setup-7dac45509423022383a9,2025-07-11,CANCELLED,BOX
[],688498,2025-07-17,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-74ed4f8aed7db5246af8,s6ps-71bdb4dbb9c5c096,s6setup-e7988503288262c6e9da,2025-07-14,CANCELLED,BOTH
[],688498,2025-07-18,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-1fd26b40fd6988eac2bd,s6ps-71bdb4dbb9c5c096,s6setup-335aa82abdabfb8430e2,2025-07-15,CANCELLED,BOX
[],688499,2025-07-16,FILLED_FROZEN_PLAN,s6order-e49961b57f25a089d7c1,s6ps-71bdb4dbb9c5c096,s6setup-6190d8589a34a14b2f2f,2025-07-11,FILLED,BOTH
[],688507,2025-08-26,FILLED_FROZEN_PLAN,s6order-ec09e1449f6122e145a4,s6ps-71bdb4dbb9c5c096,s6setup-987937c145bed8deb782,2025-08-21,FILLED,BOTH
[],688510,2025-07-14,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-5c1cf275dd2fbd774fa6,s6ps-71bdb4dbb9c5c096,s6setup-26fe4724e35fbf2a2e90,2025-07-09,CANCELLED,BOTH
[],688511,2025-08-22,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-af9cde3707382b6d53cd,s6ps-71bdb4dbb9c5c096,s6setup-d9b7df7b0cf5416f1ccd,2025-08-19,CANCELLED,BOX
[],688511,2025-08-25,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-0e3a18ec96977ea6bdb1,s6ps-71bdb4dbb9c5c096,s6setup-3e1c1be3da02ce02f7cc,2025-08-20,CANCELLED,BOX
[],688511,2025-08-27,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-f05dc88a33a62b660dfd,s6ps-71bdb4dbb9c5c096,s6setup-19bc6f8be923187ec144,2025-08-22,CANCELLED,BOTH
[],688521,2025-04-07,FILLED_FROZEN_PLAN,s6order-158e46c475a2b66c29a1,s6ps-71bdb4dbb9c5c096,s6setup-919c1bd1592da18d9049,2025-04-01,FILLED,BOX
[],688525,2025-10-28,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-8286599e95555bd233ed,s6ps-71bdb4dbb9c5c096,s6setup-2ea1587f9593e4876763,2025-10-23,CANCELLED,BOTH
[],688531,2025-10-24,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-4678d52a0f7d1a688d47,s6ps-71bdb4dbb9c5c096,s6setup-85c520ba0ce20277c4eb,2025-10-21,CANCELLED,BOX
[],688531,2025-10-27,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-d843aef338ce543363a0,s6ps-71bdb4dbb9c5c096,s6setup-c97604de9a5761e502f9,2025-10-22,CANCELLED,BOX
[],688550,2025-06-18,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-a9c29f57f13fd3f86dbf,s6ps-71bdb4dbb9c5c096,s6setup-5add3dc797a3d7edb0a4,2025-06-13,CANCELLED,BOX
[],688551,2025-08-28,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-9cff6c646cd7d082b394,s6ps-71bdb4dbb9c5c096,s6setup-88a5d6e4344747b70ab6,2025-08-25,CANCELLED,BOX
[],688585,2025-11-11,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-7f0e0b1683dc2b8e89cf,s6ps-71bdb4dbb9c5c096,s6setup-9a9bc7c3d2a7db553a40,2025-11-06,CANCELLED,BOX
[],688585,2025-11-28,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-ecc4741f77a68fbc53c1,s6ps-71bdb4dbb9c5c096,s6setup-d64d85a6021fcaaaa11a,2025-11-25,CANCELLED,BOTH
[],688600,2025-05-09,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-da4ca4777cae1cda487c,s6ps-71bdb4dbb9c5c096,s6setup-f3fc68d75a9f0ce18b5d,2025-05-06,CANCELLED,BOX
[],688600,2025-06-25,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-5ded4fbdfa704472c99a,s6ps-71bdb4dbb9c5c096,s6setup-18bd9a0c8b00652bf1e3,2025-06-20,CANCELLED,BOX
[],688600,2025-06-27,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-0c5b319a68cd84fd9b8e,s6ps-71bdb4dbb9c5c096,s6setup-b1b55f6d7c48197fe892,2025-06-24,CANCELLED,BOX
[],688623,2025-11-20,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-f4042e6bf10b4b23bbd6,s6ps-71bdb4dbb9c5c096,s6setup-b02fe25d69e2e2d02f08,2025-11-17,CANCELLED,BOTH
[],688623,2025-11-21,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-97fde9406891a9c7aecb,s6ps-71bdb4dbb9c5c096,s6setup-accae8a95b860b0504b7,2025-11-18,CANCELLED,BOTH
[],688623,2025-12-29,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-2582cee7b4bad2d77a6a,s6ps-71bdb4dbb9c5c096,s6setup-26b2f4b6f30f7a14ce62,2025-12-24,CANCELLED,BOTH
[],688629,2025-09-16,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-1cab1310842374723e4d,s6ps-71bdb4dbb9c5c096,s6setup-b6a5bde1aef90947efae,2025-09-11,CANCELLED,BOX
[],688659,2025-08-27,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-e4eaf4d1ee491a8f2c0d,s6ps-71bdb4dbb9c5c096,s6setup-1d184e0503ed4d133e53,2025-08-22,CANCELLED,BOX
[],688667,2025-05-30,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-a3b41913ae50188971b4,s6ps-71bdb4dbb9c5c096,s6setup-03808ad7ef803f59220a,2025-05-27,CANCELLED,BOX
[],688667,2025-06-03,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-f6a2324eaf333c5bb743,s6ps-71bdb4dbb9c5c096,s6setup-038a552984e465159848,2025-05-28,CANCELLED,BOX
[],688679,2025-06-16,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-fa61bdc5bf1bdb506000,s6ps-71bdb4dbb9c5c096,s6setup-0162f2212a5592cde5c6,2025-06-11,CANCELLED,BOTH
[],688718,2025-08-11,FILLED_FROZEN_PLAN,s6order-27652f1d3bd792e9b390,s6ps-71bdb4dbb9c5c096,s6setup-587e5aa084c9ac94571a,2025-08-06,FILLED,BOX
[],688767,2025-05-22,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-f5c8889d7cff5ba9f9ad,s6ps-71bdb4dbb9c5c096,s6setup-b69fd6e50219e4cdf4d9,2025-05-19,CANCELLED,BOX
[],688767,2025-06-04,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-b9f20fbf508bfb6d31de,s6ps-71bdb4dbb9c5c096,s6setup-ed9c8f05079f5fd0704a,2025-05-29,CANCELLED,BOTH
[],688767,2025-06-06,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-67bbcc011ef2ae6cd6f1,s6ps-71bdb4dbb9c5c096,s6setup-5cc05137ab0536c8c130,2025-06-03,CANCELLED,BOX
[],688767,2025-06-09,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-f3ae2a0d207781b9fab7,s6ps-71bdb4dbb9c5c096,s6setup-f6bc69faac31187db8e1,2025-06-04,CANCELLED,ORIGINAL
[],688767,2025-09-08,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-744038eb0b4094a91875,s6ps-71bdb4dbb9c5c096,s6setup-14642204952b1afeca0e,2025-09-03,CANCELLED,BOTH
[],688776,2025-04-24,FILLED_FROZEN_PLAN,s6order-c28c64a83b73a9acca62,s6ps-71bdb4dbb9c5c096,s6setup-b862b5109c23c838ff8a,2025-04-21,FILLED,BOTH
[],688779,2025-09-29,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-e66caa212b5c5187af33,s6ps-71bdb4dbb9c5c096,s6setup-17d26768cf8c49e6074e,2025-09-24,CANCELLED,BOX
[],688779,2025-09-30,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-9cfc1189a322c0d8ca6b,s6ps-71bdb4dbb9c5c096,s6setup-affd795824619560ce8c,2025-09-25,CANCELLED,BOX
[],688779,2025-10-10,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-a0068965e24097276bfe,s6ps-71bdb4dbb9c5c096,s6setup-329719f11f68a21d977c,2025-09-29,CANCELLED,BOX
[],688779,2025-10-13,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-8e9b9dd9c2a841b392f8,s6ps-71bdb4dbb9c5c096,s6setup-83acccd9d7560dd2a726,2025-09-30,CANCELLED,BOTH
[],688787,2025-01-02,FILLED_FROZEN_PLAN,s6order-63ba01fa250f32e49beb,s6ps-71bdb4dbb9c5c096,s6setup-d3019118655a97c1c18a,2024-12-27,FILLED,BOX
[],688787,2025-01-03,FILLED_FROZEN_PLAN,s6order-bc2a9874ba52944791b6,s6ps-71bdb4dbb9c5c096,s6setup-f6c1a9b20977c0141fca,2024-12-30,FILLED,BOX
