audit_tags,code,expire_date,fill_reason,order_id,parameter_set_id,setup_id,signal_date,status,tail_path
[],300660,2024-12-26,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-788c8c556021dc6ec612,s6ps-302e3a382d956a99,s6setup-04ef634a8a882f10d1b6,2024-12-23,CANCELLED,BOX
[],300660,2025-10-14,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-e8552ed677f6b2482c6a,s6ps-302e3a382d956a99,s6setup-a11bf98400a3d53aea17,2025-10-09,CANCELLED,BOX
[],300677,2025-08-28,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-3a8c9130b2388605bb34,s6ps-302e3a382d956a99,s6setup-df4ae981180f5c5a8c07,2025-08-25,CANCELLED,ORIGINAL
[],300708,2025-01-27,FILLED_FROZEN_PLAN,s6order-e9e4c39653758c71c1ce,s6ps-302e3a382d956a99,s6setup-01d20fc7b95e50754f8f,2025-01-22,FILLED,ORIGINAL
[],300723,2025-05-09,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-0d4b2df4c079d0374210,s6ps-302e3a382d956a99,s6setup-9e030ba86f6a41585748,2025-05-06,CANCELLED,ORIGINAL
[],300748,2025-08-11,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-fc78228f7a23b9aa0a78,s6ps-302e3a382d956a99,s6setup-9975ce350760b02d6940,2025-08-06,CANCELLED,BOX
[],300773,2025-07-14,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-b6329989e48cc25c61b9,s6ps-302e3a382d956a99,s6setup-0015f29d48d62fab711c,2025-07-09,CANCELLED,ORIGINAL
[],300777,2025-03-26,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-360354173472fb00e6c1,s6ps-302e3a382d956a99,s6setup-87dda88ed4214ac5df61,2025-03-21,CANCELLED,BOX
[],300781,2024-04-03,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-de9215947ff182a70ee5,s6ps-302e3a382d956a99,s6setup-bdd91fa3f1e6124eddaa,2024-03-29,CANCELLED,ORIGINAL
[],300835,2025-08-19,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-58cdeef9e6ebae9b8543,s6ps-302e3a382d956a99,s6setup-b0a60c0236cc6bfea072,2025-08-14,CANCELLED,ORIGINAL
[],300843,2025-09-16,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-b7947c93c46b42b786af,s6ps-302e3a382d956a99,s6setup-995f64e13e0855c4b091,2025-09-11,CANCELLED,ORIGINAL
[],300953,2025-10-09,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-fd18fc0adf3f6765b821,s6ps-302e3a382d956a99,s6setup-bf1a166b947700592e95,2025-09-26,CANCELLED,ORIGINAL
[],300996,2025-02-28,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-1a27797d3c1e8a812db0,s6ps-302e3a382d956a99,s6setup-ff32c26aba8602316103,2025-02-25,CANCELLED,BOTH
[],301095,2025-09-04,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-2e0086516dd488020e5b,s6ps-302e3a382d956a99,s6setup-ec4268cdb3ff4d155204,2025-09-01,CANCELLED,ORIGINAL
[],301165,2025-09-16,FILLED_FROZEN_PLAN,s6order-725994056bb9ad8794a1,s6ps-302e3a382d956a99,s6setup-a76a106f1fdb7676fc87,2025-09-11,FILLED,ORIGINAL
[],301200,2025-11-14,FILLED_FROZEN_PLAN,s6order-4363005a382fce0167a5,s6ps-302e3a382d956a99,s6setup-2c4bbb328f5078d10720,2025-11-11,FILLED,BOX
[],301200,2025-11-17,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-922f161696e624c1bc27,s6ps-302e3a382d956a99,s6setup-e89e8ef7f5aab306db03,2025-11-12,CANCELLED,BOX
[],301200,2025-11-18,FILLED_FROZEN_PLAN,s6order-637877fa81dab5124afb,s6ps-302e3a382d956a99,s6setup-92817d821589cb844253,2025-11-13,FILLED,BOTH
[],600010,2025-08-18,FILLED_FROZEN_PLAN,s6order-3e6f41e01a44d7756cc5,s6ps-302e3a382d956a99,s6setup-4fe377f3079b4d40efa0,2025-08-13,FILLED,ORIGINAL
[],600095,2025-07-23,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-82f5d374eb01aa102081,s6ps-302e3a382d956a99,s6setup-21040c4922a0387c99a7,2025-07-18,CANCELLED,ORIGINAL
[],600095,2025-07-25,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-742a3e5bfd60f28063b4,s6ps-302e3a382d956a99,s6setup-74fefce957072eeb69d6,2025-07-22,CANCELLED,ORIGINAL
[],600105,2025-06-20,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-55fdc9b3d97dee03abc0,s6ps-302e3a382d956a99,s6setup-c3731ceba7c31c7b38ea,2025-06-17,CANCELLED,ORIGINAL
