evaluation_date,code,name,setup_id,candidate_type,candidate_event_id,candidate_event_sequence,first_candidate_date,first_executable_date,is_first_candidate_event,is_first_executable_event,entry_archetype
2024-10-28,300293,蓝英装备,s6setup-9bd84923404891e10b11,WATCH_CANDIDATE,s6event-65b03df8846380bd20fc,1,2024-10-28,,True,False,NONE
2024-10-28,300709,精研科技,s6setup-5b2041e9a58ee0c21425,WATCH_CANDIDATE,s6event-c847e2286a4d9449dd22,1,2024-10-28,,True,False,NONE
2024-10-28,300750,宁德时代,s6setup-9e65aa9fcaf21c87e545,KEY_CANDIDATE,s6event-5544629afb4ed516095b,1,2024-10-28,2024-10-28,True,True,SUPPORT_PULLBACK
2024-10-28,601186,中国铁建,s6setup-af11af9996de7f907a8d,KEY_CANDIDATE,s6event-22abb3eb478dbb2950ea,2,2024-10-25,2024-10-28,False,True,SUPPORT_PULLBACK
2024-10-28,601318,中国平安,s6setup-98c0b474d9979a45cc3c,WATCH_CANDIDATE,s6event-73fe630f396084a35fea,2,2024-10-25,2024-10-25,False,False,NONE
2024-10-28,688658,悦康药业,s6setup-1597925ea0841ae92584,KEY_CANDIDATE,s6event-7b6d8f049b22a60f029d,1,2024-10-28,2024-10-28,True,True,SUPPORT_PULLBACK
2024-10-29,300293,蓝英装备,s6setup-2f57feeea609bcb0e16b,WATCH_CANDIDATE,s6event-65b03df8846380bd20fc,2,2024-10-28,2024-10-29,False,True,SUPPORT_PULLBACK
2024-10-29,300433,蓝思科技,s6setup-ce55436529fac87c0148,WATCH_CANDIDATE,s6event-9fc9833e4a2aefe9d913,1,2024-10-29,,True,False,NONE
2024-10-29,300709,精研科技,s6setup-1a47687228730efc7c66,WATCH_CANDIDATE,s6event-c847e2286a4d9449dd22,2,2024-10-28,2024-10-29,False,True,SUPPORT_PULLBACK
2024-10-29,300750,宁德时代,s6setup-9e65aa9fcaf21c87e545,KEY_CANDIDATE,s6event-5544629afb4ed516095b,2,2024-10-28,2024-10-28,False,False,SUPPORT_PULLBACK
2024-10-29,601336,新华保险,s6setup-96f5e92fb6957b29f889,KEY_CANDIDATE,s6event-db89ee5348405801f24e,2,2024-10-25,2024-10-29,False,True,SUPPORT_PULLBACK
