experiment_id,evaluation_date,code,name,setup_id,candidate_type,entry_timing_state,entry_timing_executable,entry_timing_evidence_count,probability_rr_status,probability_rr_sample_count,probability_rr_target_1_hit_probability,probability_rr_target_2_hit_probability,probability_adjusted_r
S6_ENTRY_E0_BASELINE,2024-11-06,002130,沃尔核材,s6setup-b3bfe3b0c2577df77662,WATCH_CANDIDATE,SUPPORT_FORMING,False,2,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-06,603893,瑞芯微,s6setup-5b52a644932ad736476a,WATCH_CANDIDATE,WAITING_BREAKOUT,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-07,002130,沃尔核材,s6setup-601520cd7eade1a86625,WATCH_CANDIDATE,SUPPORT_FORMING,False,3,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-07,603893,瑞芯微,s6setup-5c8f844a5bd2c3275a12,WATCH_CANDIDATE,WAITING_BREAKOUT,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-08,002130,沃尔核材,s6setup-0ea994a0114ea261040e,WATCH_CANDIDATE,SUPPORT_CONFIRMED,True,4,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-08,002600,领益智造,s6setup-683787f79104f8ee2e19,KEY_CANDIDATE,SUPPORT_CONFIRMED,True,3,RELIABLE,250,0.564,0.22,0.599561
S6_ENTRY_E0_BASELINE,2024-11-08,300067,安诺其,s6setup-00fcccb83fb3b2701a5b,KEY_CANDIDATE,SUPPORT_CONFIRMED,True,3,RELIABLE,250,0.4,0.24,0.626072
S6_ENTRY_E0_BASELINE,2024-11-08,300192,科德教育,s6setup-18e91cf1670e563726d6,KEY_CANDIDATE,SUPPORT_FORMING,False,2,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-08,300303,聚飞光电,s6setup-481bd3cc8486c5ed323e,WATCH_CANDIDATE,SUPPORT_CONFIRMED,True,3,RELIABLE,250,0.464,0.144,0.444728
S6_ENTRY_E0_BASELINE,2024-11-08,300394,天孚通信,s6setup-bd38c99a8f41f1f6d00a,WATCH_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-08,300397,天和防务,s6setup-5c56c4f571876e4504e9,KEY_CANDIDATE,SUPPORT_CONFIRMED,True,4,RELIABLE,250,0.46,0.164,0.409887
S6_ENTRY_E0_BASELINE,2024-11-08,300563,神宇股份,s6setup-3b141611a0adf956336b,WATCH_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-08,600601,方正科技,s6setup-a3a1e64d42ee99d21b57,KEY_CANDIDATE,SUPPORT_CONFIRMED,True,3,RELIABLE,250,0.58,0.188,0.475082
S6_ENTRY_E0_BASELINE,2024-11-08,600990,四创电子,s6setup-bc80c558b01b30a21e16,WATCH_CANDIDATE,SUPPORT_CONFIRMED,True,4,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-08,603893,瑞芯微,s6setup-a63db8c9eb7d11d047d3,KEY_CANDIDATE,SUPPORT_CONFIRMED,True,3,RELIABLE,250,0.284,0.124,0.142901
S6_ENTRY_E0_BASELINE,2024-11-08,688252,天德钰,s6setup-99a79916c8c7e6f3c311,KEY_CANDIDATE,SUPPORT_CONFIRMED,True,4,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-11,002130,沃尔核材,s6setup-3dc4536bdb7bfa83e949,WATCH_CANDIDATE,SUPPORT_CONFIRMED,True,4,NOT_EVALUATED,0,0.0,0.0,0.0
