code,name,candidate_type,classification,signal_date,entry_date,entry_price,signal_close,total_score,support_status,main_support_ma,main_support_distance,strength_trigger,high_trigger,max_drawdown,return_5d,return_10d,return_20d,exit_date_5d,exit_date_10d,exit_date_20d,risk_tags,warn_tags
688109,品茗科技,WATCH_CANDIDATE,observe,2025-07-10,2025-07-11,30.382,30.252,56.99,SPRINT_MA20_SUPPORT,MA20,0.008247,single_day_surge,new_120d_high,-0.017115,0.12277,0.111579,0.395629,2025-07-17,2025-07-24,2025-08-07,,
688151,华强科技,WATCH_CANDIDATE,observe,2025-07-10,2025-07-11,23.934,23.944,75.12,SPRINT_MA20_SUPPORT,MA20,0.039947,ret_20d,new_120d_high,-0.028411,0.041364,0.00376,0.115735,2025-07-17,2025-07-24,2025-08-07,,
688297,中无人机,KEY_CANDIDATE,highlight,2025-07-10,2025-07-11,51.991,51.621,73.38,SPRINT_MA5_SUPPORT,MA5,0.022162,single_day_surge,new_120d_high,-0.022312,0.028659,0.082707,0.14214,2025-07-17,2025-07-24,2025-08-07,,
688499,利元亨,WATCH_CANDIDATE,observe,2025-07-10,2025-07-11,39.16,39.46,76.07,SPRINT_MA20_SUPPORT,MA20,0.044513,ret_20d,new_120d_high,-0.011747,0.112104,0.339377,0.344484,2025-07-17,2025-07-24,2025-08-07,,
688543,国科军工,KEY_CANDIDATE,highlight,2025-07-15,2025-07-16,46.733,46.717,76.62,SPRINT_MA5_SUPPORT,MA5,0.008922,single_day_surge,new_120d_high,-0.08861,-0.051698,-0.0303,0.005713,2025-07-22,2025-07-29,2025-08-12,,
688115,思林杰,WATCH_CANDIDATE,observe,2025-07-17,2025-07-18,52.8,53.11,63.0,SPRINT_MA20_SUPPORT,MA20,0.057814,ret_50d,new_120d_high,-0.011932,0.039962,0.151136,0.324053,2025-07-24,2025-07-31,2025-08-14,,
688191,智洋创新,WATCH_CANDIDATE,observe,2025-07-17,2025-07-18,17.214,17.7,68.76,SPRINT_MA20_SUPPORT,MA20,0.042068,single_day_surge,new_120d_high,0.0,0.148542,0.098757,0.028233,2025-07-24,2025-07-31,2025-08-14,,
688398,赛特新材,KEY_CANDIDATE,highlight,2025-07-17,2025-07-18,19.01,18.99,69.16,SPRINT_MA5_SUPPORT,MA5,0.02495,single_day_surge,new_120d_high,-0.048396,-0.023672,-0.045765,0.096791,2025-07-24,2025-07-31,2025-08-14,,
688626,翔宇医疗,KEY_CANDIDATE,highlight,2025-07-24,2025-07-25,45.554,45.624,76.46,SPRINT_MA10_SUPPORT,MA10,0.016724,single_day_surge,new_120d_high,-0.035562,0.005927,0.291303,0.29723,2025-07-31,2025-08-07,2025-08-21,,
688117,圣诺生物,WATCH_CANDIDATE,observe,2025-07-31,2025-08-01,28.306,28.256,73.94,SPRINT_MA20_SUPPORT,MA20,0.029778,ret_50d,new_120d_high,-0.073695,-0.045432,0.008832,0.026743,2025-08-07,2025-08-14,2025-08-28,,
688156,路德科技,WATCH_CANDIDATE,observe,2025-07-31,2025-08-01,19.7,19.82,67.72,SPRINT_MA20_SUPPORT,MA20,0.05941,single_day_surge,new_120d_high,0.0,0.079188,0.043147,0.18934,2025-08-07,2025-08-14,2025-08-28,,
688248,南网科技,WATCH_CANDIDATE,observe,2025-07-31,2025-08-01,32.95,32.97,57.66,SPRINT_MA20_SUPPORT,MA20,0.017461,single_day_surge,new_120d_high,-0.008194,0.038543,0.017299,0.123824,2025-08-07,2025-08-14,2025-08-28,,
688265,南模生物,WATCH_CANDIDATE,observe,2025-07-31,2025-08-01,36.46,36.73,65.43,SPRINT_MA20_SUPPORT,MA20,0.05554,single_day_surge,new_120d_high,-0.012342,0.18678,0.662095,0.648656,2025-08-07,2025-08-14,2025-08-28,,
688360,德马科技,WATCH_CANDIDATE,observe,2025-07-31,2025-08-01,21.43,21.4,74.15,SPRINT_MA20_SUPPORT,MA20,0.015654,single_day_surge,new_120d_high,-0.024732,0.140924,0.04293,0.013999,2025-08-07,2025-08-14,2025-08-28,,
688655,迅捷兴,WATCH_CANDIDATE,observe,2025-07-31,2025-08-01,23.42,23.02,62.69,SPRINT_MA20_SUPPORT,MA20,0.017441,single_day_surge,new_120d_high,-0.011956,0.090948,0.050811,0.046968,2025-08-07,2025-08-14,2025-08-28,,
300502,新易盛,WATCH_CANDIDATE,observe,2025-08-07,2025-08-08,130.0,130.44,68.05,SPRINT_MA20_SUPPORT,MA20,0.047029,ret_20d,new_120d_high,-0.011615,0.264077,0.411308,0.709308,2025-08-14,2025-08-21,2025-09-04,,
688051,佳华科技,WATCH_CANDIDATE,observe,2025-08-07,2025-08-08,32.31,32.18,71.61,SPRINT_MA20_SUPPORT,MA20,0.036933,ret_20d,new_120d_high,-0.030022,0.076447,0.190963,0.090684,2025-08-14,2025-08-21,2025-09-04,,
688238,和元生物,WATCH_CANDIDATE,observe,2025-08-07,2025-08-08,7.8,7.79,71.1,SPRINT_MA20_SUPPORT,MA20,0.01258,single_day_surge,new_120d_high,-0.052564,0.001282,0.024359,-0.037179,2025-08-14,2025-08-21,2025-09-04,,
688257,新锐股份,KEY_CANDIDATE,highlight,2025-08-07,2025-08-08,11.636,11.622,77.62,SPRINT_MA5_SUPPORT,MA5,0.001755,single_day_surge,new_120d_high,-0.013493,-0.011688,0.014696,0.039275,2025-08-14,2025-08-21,2025-09-04,,
688318,财富趋势,WATCH_CANDIDATE,observe,2025-08-07,2025-08-08,84.736,85.336,66.79,SPRINT_MA20_SUPPORT,MA20,0.022856,single_day_surge,new_120d_high,-0.020735,0.046781,0.230551,0.282477,2025-08-14,2025-08-21,2025-09-04,,
688334,西高院,KEY_CANDIDATE,highlight,2025-08-08,2025-08-11,18.314,18.414,65.97,SPRINT_MA5_SUPPORT,MA5,0.004562,single_day_surge,new_120d_high,-0.026209,0.009829,0.020203,0.003822,2025-08-15,2025-08-22,2025-09-05,,
688002,XD睿创微,WATCH_CANDIDATE,observe,2025-08-14,2025-08-15,66.94,67.2,64.8,SPRINT_MA20_SUPPORT,MA20,0.006109,single_day_surge,new_120d_high,-0.016582,0.024649,0.15372,0.120257,2025-08-21,2025-08-28,2025-09-11,,
