code,name,board,board_label,candidate_type,classification,signal_date,entry_date,entry_model,signal_close,entry_price,total_score,support_status,main_support_ma,main_support_distance,strength_trigger,high_trigger,max_drawdown,return_5d,return_10d,return_20d,exit_date_5d,exit_date_10d,exit_date_20d
600010,包钢股份,SH_MAIN,沪主板,WATCH_CANDIDATE,observe,2025-08-14,2025-08-15,NEXT_OPEN,2.5,2.47,71.55,SPRINT_MA20_SUPPORT,MA20,0.0008,single_day_surge,new_120d_high,-0.032389,0.08502,0.133603,0.004049,2025-08-21,2025-08-28,2025-09-11
688002,XD睿创微,KCB,科创板,WATCH_CANDIDATE,observe,2025-08-14,2025-08-15,NEXT_OPEN,67.2,66.94,64.8,SPRINT_MA20_SUPPORT,MA20,0.006109,single_day_surge,new_120d_high,-0.016582,0.024649,0.15372,0.120257,2025-08-21,2025-08-28,2025-09-11
688004,博汇科技,KCB,科创板,WATCH_CANDIDATE,observe,2025-08-14,2025-08-15,NEXT_OPEN,24.65,24.53,71.49,SPRINT_MA20_SUPPORT,MA20,0.059817,ret_20d,new_120d_high,-0.078679,0.028129,0.033021,0.050958,2025-08-21,2025-08-28,2025-09-11
688277,天智航,KCB,科创板,WATCH_CANDIDATE,observe,2025-08-14,2025-08-15,NEXT_OPEN,18.41,18.53,77.83,SPRINT_MA20_SUPPORT,MA20,0.045057,ret_20d,new_120d_high,-0.094981,0.055586,-0.008095,-0.017809,2025-08-21,2025-08-28,2025-09-11
600895,张江高科,SH_MAIN,沪主板,WATCH_CANDIDATE,observe,2025-08-21,2025-08-22,NEXT_OPEN,33.59,33.33,71.16,SPRINT_MA20_SUPPORT,MA20,0.003572,ret_50d,new_120d_high,-0.018902,0.158116,0.013201,0.146415,2025-08-28,2025-09-04,2025-09-18
688029,南微医学,KCB,科创板,WATCH_CANDIDATE,observe,2025-08-21,2025-08-22,NEXT_OPEN,91.63,91.97,74.18,SPRINT_MA20_SUPPORT,MA20,0.035414,single_day_surge,new_120d_high,-0.078939,-0.024682,-0.065782,-0.030662,2025-08-28,2025-09-04,2025-09-18
688039,当虹科技,KCB,科创板,WATCH_CANDIDATE,observe,2025-08-21,2025-08-22,NEXT_OPEN,50.53,50.27,82.6,SPRINT_MA20_SUPPORT,MA20,0.028953,ret_20d,new_120d_high,-0.043963,0.208474,-0.022081,0.034414,2025-08-28,2025-09-04,2025-09-18
688115,思林杰,KCB,科创板,WATCH_CANDIDATE,observe,2025-08-21,2025-08-22,NEXT_OPEN,68.37,68.44,74.53,SPRINT_MA20_SUPPORT,MA20,2.9e-05,single_day_surge,new_120d_high,-0.250438,-0.116598,-0.238311,-0.118644,2025-08-28,2025-09-04,2025-09-18
688357,建龙微纳,KCB,科创板,WATCH_CANDIDATE,observe,2025-08-21,2025-08-22,NEXT_OPEN,33.1,33.25,67.38,SPRINT_MA20_SUPPORT,MA20,0.013776,single_day_surge,new_120d_high,-0.046316,-0.004812,-0.029173,0.046917,2025-08-28,2025-09-04,2025-09-18
688376,美埃科技,KCB,科创板,WATCH_CANDIDATE,observe,2025-08-21,2025-08-22,NEXT_OPEN,47.75,47.68,77.21,SPRINT_MA20_SUPPORT,MA20,0.004995,single_day_surge,new_120d_high,-0.059354,0.065646,-0.042576,0.133809,2025-08-28,2025-09-04,2025-09-18
688529,豪森智能,KCB,科创板,WATCH_CANDIDATE,observe,2025-08-21,2025-08-22,NEXT_OPEN,22.3,22.29,70.12,SPRINT_MA20_SUPPORT,MA20,0.024641,single_day_surge,new_120d_high,-0.127411,-0.044415,-0.11485,-0.052939,2025-08-28,2025-09-04,2025-09-18
688786,悦安新材,KCB,科创板,WATCH_CANDIDATE,observe,2025-08-21,2025-08-22,NEXT_OPEN,22.308,22.467,65.8,SPRINT_MA20_SUPPORT,MA20,0.023749,single_day_surge,new_120d_high,-0.043041,0.000356,-0.030044,-0.00819,2025-08-28,2025-09-04,2025-09-18
600143,金发科技,SH_MAIN,沪主板,WATCH_CANDIDATE,observe,2025-08-28,2025-08-29,NEXT_OPEN,15.69,15.75,69.64,SPRINT_MA20_SUPPORT,MA20,0.045793,ret_20d,new_120d_high,-0.065397,0.034921,0.12127,0.284444,2025-09-04,2025-09-11,2025-09-25
688199,久日新材,KCB,科创板,WATCH_CANDIDATE,observe,2025-08-28,2025-08-29,NEXT_OPEN,28.84,28.58,72.17,SPRINT_MA20_SUPPORT,MA20,0.059449,single_day_surge,new_120d_high,-0.128761,-0.081875,-0.012246,-0.085374,2025-09-04,2025-09-11,2025-09-25
688567,孚能科技,KCB,科创板,WATCH_CANDIDATE,observe,2025-08-28,2025-08-29,NEXT_OPEN,17.33,17.13,71.0,SPRINT_MA20_SUPPORT,MA20,0.003924,single_day_surge,new_120d_high,-0.005838,0.184472,0.191477,0.190893,2025-09-04,2025-09-11,2025-09-25
688301,奕瑞科技,KCB,科创板,WATCH_CANDIDATE,observe,2025-09-04,2025-09-05,NEXT_OPEN,78.567,78.846,75.37,SPRINT_MA20_SUPPORT,MA20,0.031867,ret_20d,new_120d_high,-0.030439,-0.000545,-0.00643,0.039051,2025-09-11,2025-09-18,2025-10-10
688370,丛麟科技,KCB,科创板,WATCH_CANDIDATE,observe,2025-09-04,2025-09-05,NEXT_OPEN,27.942,27.702,70.05,SPRINT_MA20_SUPPORT,MA20,0.016302,single_day_surge,new_120d_high,-0.118403,0.042957,-0.112266,-0.007581,2025-09-11,2025-09-18,2025-10-10
688484,南芯科技,KCB,科创板,WATCH_CANDIDATE,observe,2025-09-09,2025-09-10,NEXT_OPEN,45.271,45.631,53.11,SPRINT_MA50_TESTING,MA50,0.061613,single_day_surge,new_120d_high,-0.016874,0.044487,0.093577,0.0618,2025-09-16,2025-09-23,2025-10-15
000617,中油资本,SZ_MAIN,深主板,WATCH_CANDIDATE,observe,2025-09-11,2025-09-12,NEXT_OPEN,11.028,10.748,65.76,SPRINT_MA20_SUPPORT,MA20,0.000181,ret_20d,new_120d_high,-0.073502,0.024191,-0.047451,-0.032564,2025-09-18,2025-09-25,2025-10-17
601162,天风证券,SH_MAIN,沪主板,KEY_CANDIDATE,highlight,2025-09-11,2025-09-12,NEXT_OPEN,5.63,5.62,58.44,SPRINT_MA5_SUPPORT,MA5,0.019183,single_day_surge,new_120d_high,-0.097865,0.007117,-0.062278,-0.094306,2025-09-18,2025-09-25,2025-10-17
688045,必易微,KCB,科创板,KEY_CANDIDATE,highlight,2025-09-11,2025-09-12,NEXT_OPEN,43.876,43.476,68.86,SPRINT_MA5_SUPPORT,MA5,0.020467,single_day_surge,new_120d_high,-0.044622,0.040712,0.050603,-0.044622,2025-09-18,2025-09-25,2025-10-17
688181,八亿时空,KCB,科创板,KEY_CANDIDATE,highlight,2025-09-11,2025-09-12,NEXT_OPEN,37.267,37.297,72.23,SPRINT_MA5_SUPPORT,MA5,0.00746,single_day_surge,new_120d_high,-0.087943,0.055232,0.036464,-0.083921,2025-09-18,2025-09-25,2025-10-17
688229,博睿数据,KCB,科创板,KEY_CANDIDATE,highlight,2025-09-11,2025-09-12,NEXT_OPEN,72.68,72.78,72.55,SPRINT_MA5_SUPPORT,MA5,0.014392,ret_50d,new_120d_high,-0.220253,-0.071723,-0.102913,-0.219291,2025-09-18,2025-09-25,2025-10-17
688306,均普智能,KCB,科创板,KEY_CANDIDATE,highlight,2025-09-11,2025-09-12,NEXT_OPEN,11.952,11.972,72.58,SPRINT_MA5_SUPPORT,MA5,0.016064,single_day_surge,new_120d_high,-0.023388,0.248079,0.120281,0.013365,2025-09-18,2025-09-25,2025-10-17
688526,科前生物,KCB,科创板,KEY_CANDIDATE,highlight,2025-09-11,2025-09-12,NEXT_OPEN,17.86,17.76,70.28,SPRINT_MA5_SUPPORT,MA5,0.01075,single_day_surge,new_120d_high,-0.074324,-0.021959,-0.057432,-0.071509,2025-09-18,2025-09-25,2025-10-17
